{'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l2'}
F1-score: 0.9418

{'loss': 'log', 'alpha': 0.01, 'penalty': 'l2'}
0.863 (+/-0.010) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l1'}
0.919 (+/-0.014) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l2'}
0.912 (+/-0.017) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.891 (+/-0.009) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l1'}
0.915 (+/-0.009) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l2'}
0.913 (+/-0.011) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.889 (+/-0.020) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l1'}
0.913 (+/-0.012) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l2'}
0.913 (+/-0.010) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.887 (+/-0.020) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l1'}
0.895 (+/-0.013) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l2'}
0.892 (+/-0.010) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.895 (+/-0.019) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l1'}
0.904 (+/-0.016) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l2'}
0.902 (+/-0.014) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.897 (+/-0.015) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l1'}
0.890 (+/-0.005) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l2'}
0.886 (+/-0.013) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.901 (+/-0.013) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l1'}
0.890 (+/-0.010) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l2'}
0.895 (+/-0.015) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'elasticnet'}
0.901 (+/-0.013) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l1'}
0.891 (+/-0.006) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l2'}
0.894 (+/-0.005) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'elasticnet'}
Accuracy: 0.9339
F1-score: 0.9339

{'loss': 'log', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.378 (+/-0.000) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l1'}
0.751 (+/-0.026) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l2'}
0.385 (+/-0.005) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.378 (+/-0.000) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l1'}
0.743 (+/-0.019) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l2'}
0.379 (+/-0.004) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.831 (+/-0.021) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l1'}
0.871 (+/-0.015) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l2'}
0.868 (+/-0.015) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.868 (+/-0.017) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l1'}
0.888 (+/-0.007) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l2'}
0.884 (+/-0.006) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.883 (+/-0.019) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l1'}
0.894 (+/-0.006) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l2'}
0.896 (+/-0.006) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.885 (+/-0.021) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l1'}
0.889 (+/-0.015) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l2'}
0.888 (+/-0.016) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.872 (+/-0.013) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l1'}
0.886 (+/-0.011) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l2'}
0.886 (+/-0.012) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'elasticnet'}
0.873 (+/-0.025) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l1'}
0.861 (+/-0.011) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l2'}
0.860 (+/-0.010) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'elasticnet'}
Accuracy: 0.9055
F1-score: 0.9054

